name,playcount,listeners,mbid,url,streamable,tags
Fana Hues,784783,99994,,https://www.last.fm/music/Fana+Hues,0,"soul, rnb, pop"
punctual,663140,99992,,https://www.last.fm/music/punctual,0,"electronic, british, electro"
Luke Faulkner,553389,99914,,https://www.last.fm/music/Luke+Faulkner,0,"Classical, piano, nocturnal"
Automatic,781292,99911,d9377410-255f-40ba-90b8-9cbba6261f4a,https://www.last.fm/music/Automatic,0,"indie rock, indie, british"
The Pogues,18618063,998911,d41a6875-b626-4c0f-89a1-aecb643d29ff,https://www.last.fm/music/The+Pogues,0,"irish, folk, punk"
Erland Cooper,707908,99886,,https://www.last.fm/music/Erland+Cooper,0,"ambient, contemporary classical, modern classical"
Scary Pockets,1977299,99874,,https://www.last.fm/music/Scary+Pockets,0,"funk, seen live, USA"
Eagle-Eye Cherry,8060653,998726,4a5777b3-f55b-437c-8b23-d9ee7791c7fc,https://www.last.fm/music/Eagle-Eye+Cherry,0,"rock, pop, alternative"
SAFETY TRANCE,1802789,99843,,https://www.last.fm/music/SAFETY+TRANCE,0,"neoperreo, electronic, venezuela"
Shawn James,1813055,99778,,https://www.last.fm/music/Shawn+James,0,"soul, folk, blues"
Have Mercy,2603142,99717,b591c1bb-32a2-4e7f-bb1f-574c18885e92,https://www.last.fm/music/Have+Mercy,0,"emo, indie rock, thrash metal"
youra,1531967,99702,,https://www.last.fm/music/youra,0,"electronic, Korean, Hip-Hop"
Old Gray,2777853,99699,ddae9a60-a349-4f05-a75c-51240ae31ab6,https://www.last.fm/music/Old+Gray,0,"screamo, emo, indie"
the booyah! kids,861798,99683,,https://www.last.fm/music/the+booyah%21+kids,0,"electronic, pop, new york"
The Moody Blues,14276311,996766,774666d2-2064-4d6c-856c-f8cda0aaf9f0,https://www.last.fm/music/The+Moody+Blues,0,"classic rock, Progressive rock, rock"
Nena,8907947,996750,c954d136-c7fd-4fd9-8bb0-fb0491fc6a02,https://www.last.fm/music/Nena,0,"german, pop, 80s"
Aloe Blacc,11676660,996745,4bf89e02-6c30-4603-9f6a-52619b1bea1a,https://www.last.fm/music/Aloe+Blacc,0,"soul, Hip-Hop, Neo-Soul"
Stevie Nicks,13480112,996158,b7f2cca2-72c6-41fb-ae33-53370fc62fe7,https://www.last.fm/music/Stevie+Nicks,0,"female vocalists, classic rock, rock"
Rudimental,17285046,996151,b09ced80-aa65-43c1-9aa7-58b1e982eada,https://www.last.fm/music/Rudimental,0,"seen live, Drum and bass, dubstep"
Mari Fernandez,2246197,99597,,https://www.last.fm/music/Mari+Fernandez,0,"Forro, piseiro, brazilian"
Camille Saint-Saëns,9768842,995880,4137c070-15b2-4d00-a9f0-3517d02a9ba8,https://www.last.fm/music/Camille+Saint-Sa%C3%ABns,0,"Classical, romantic, french"
deadman 死人,889615,99521,,https://www.last.fm/music/deadman+%E6%AD%BB%E4%BA%BA,0,"rap, Hip-Hop, instrumental"
Nightstop,1273714,99450,,https://www.last.fm/music/Nightstop,0,"synthwave, electronic, retrowave"
Måneskin,44029989,994487,,https://www.last.fm/music/M%C3%A5neskin,0,"rock, glam rock, italian"
Namasenda,2740817,99448,,https://www.last.fm/music/Namasenda,0,"hyperpop, pop, bubblegum bass"
Sideshow,869773,99435,a2aaddc7-9afb-4e6f-9587-ebb2f65fc327,https://www.last.fm/music/Sideshow,0,"dub, emo, post-hardcore"
Toro y Moi,39970788,994055,3a6d6481-142d-423f-91d4-55bbfff318ed,https://www.last.fm/music/Toro+y+Moi,0,"chillwave, electronic, Lo-Fi"
